235;899
308,988;892
311,562,992;901
326,758,330,277;904
666,669,1005,89,941;899
903,865,416,536,861,361;901
499,161,16,613,1000,579,369;904
914,258,7,67,851,556,754,418;902
41,303,851,168,56,313,18,334,895;899
488,920,103,311,11,120,107,269,396,372;902
707,143,23,87,84,842,637,357,798,632,747;903
829,689,616,311,189,740,67,125,560,515,323,2;897
144,389,267,979,319,735,732,121,42,837,376,321,978;903
36,855,586,565,865,716,22,378,134,103,447,256,235,610;914
163,473,115,97,648,774,429,824,237,19,710,920,743,702,249;904
57,210,171,828,230,949,922,476,826,501,879,51,680,889,187,691;899
833,222,746,911,826,280,35,201,651,477,10,246,368,38,611,886,505;898
184,270,23,8,512,886,952,341,109,659,202,209,710,699,398,811,369,731;912
54,582,280,738,689,123,710,497,369,171,540,164,615,125,945,218,904,678,571;899
390,197,749,58,486,98,602,765,731,380,626,885,549,947,584,180,425,205,778,102;897
