739;901
103,117;909
968,516,518;907
94,334,901,579;907
609,691,809,991,942;897
609,298,144,913,988,481;892
369,665,148,510,300,805,336;897
276,54,505,431,424,518,321,976;903
35,826,128,65,127,91,812,531,345;899
100,142,94,232,234,373,724,796,410,676;917
199,889,982,479,104,2,676,894,265,524,129;893
945,971,440,896,863,202,367,563,870,572,603,444;884
766,187,287,355,661,983,782,779,163,623,120,841,713;914
937,354,915,75,136,533,217,926,293,192,213,607,328,592;908
5,485,572,243,301,297,919,32,883,262,332,74,338,227,325;892
131,101,977,416,884,863,564,162,712,471,134,895,721,543,940,365;905
999,770,798,518,725,711,837,224,656,818,767,569,978,667,902,209,910;902
114,892,967,103,256,843,349,714,491,118,190,502,740,633,191,12,513,99;904
577,247,200,539,934,332,390,269,182,35,933,237,339,710,348,516,185,410,810;906
459,508,765,911,113,837,267,389,788,555,66,620,293,205,191,599,92,618,296,940;898
